edge_idx;source_name;source_label;relation_type;target_name;target_label;period_id;period_label;n_chunks_in_period;event_natural_periods;aligned
0;Harb bin Umayyah;PERSON;INVOLVED_IN;Perang Fijar;EVENT;P1;Nasab & Kelahiran Nabi;1;P1;True
1;Muhammad;PERSON;INVOLVED_IN;Perang Fijar;EVENT;P1;Nasab & Kelahiran Nabi;1;P1;True
2;Amr bin Al-Ash;PERSON;INVOLVED_IN;Perang Badr;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P8;False
3;Najasyi;PERSON;INVOLVED_IN;Perang Badr;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P8;False
4;Ubay bin Khalaf;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P9;False
5;Muhammad;PERSON;INVOLVED_IN;Perang Badr;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P8;False
5;Muhammad;PERSON;INVOLVED_IN;Perang Badr;EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
5;Muhammad;PERSON;INVOLVED_IN;Perang Badr;EVENT;P8;Perang Badr & Dampaknya;4;P8;True
5;Muhammad;PERSON;INVOLVED_IN;Perang Badr;EVENT;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;4;P8;False
5;Muhammad;PERSON;INVOLVED_IN;Perang Badr;EVENT;P10;Perang Khandaq hingga Bani Mushthaliq;1;P8;False
6;Abu Jahal;PERSON;INVOLVED_IN;Perang Badr;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P8;False
7;Abu Sufyan bin Harb;PERSON;INVOLVED_IN;Perang Badr;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P8;False
7;Abu Sufyan bin Harb;PERSON;INVOLVED_IN;Perang Badr;EVENT;P8;Perang Badr & Dampaknya;1;P8;True
7;Abu Sufyan bin Harb;PERSON;INVOLVED_IN;Perang Badr;EVENT;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;3;P8;False
8;Perang Badr;EVENT;OCCURRED_AT;Yatsrib;LOCATION;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P8;False
9;Abu Bakar;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P9;False
10;Muhammad;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P4;Dakwah Jahriyah & Tekanan Quraisy;1;P9;False
10;Muhammad;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P8;Perang Badr & Dampaknya;1;P9;False
10;Muhammad;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;6;P9;True
10;Muhammad;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P10;Perang Khandaq hingga Bani Mushthaliq;1;P9;False
11;Urwah bin Az-Zubair;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P9;False
12;Aisyah;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P9;False
13;Ibnu Abdi;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P9;False
14;Yalail bin Abdi;PERSON;INVOLVED_IN;Perang Uhud;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P9;False
15;Perang Uhud;EVENT;OCCURRED_AT;Aqabah;LOCATION;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P9;False
16;Abu Rasulullah;PERSON;INVOLVED_IN;Perang Badr;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P8;False
17;Perang Khandaq;EVENT;OCCURRED_AT;Yaman;LOCATION;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P10;False
18;Qais bin Al-Aslat;PERSON;INVOLVED_IN;Perang Khandaq;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P10;False
19;Mush'ab bin Umair;PERSON;INVOLVED_IN;Perang Khandaq;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P10;False
20;Baiat Aqabah Kubra;EVENT;OCCURRED_AT;Aqabah;LOCATION;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
21;Muhammad;PERSON;INVOLVED_IN;Baiat Aqabah;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
21;Muhammad;PERSON;INVOLVED_IN;Baiat Aqabah;EVENT;P8;Perang Badr & Dampaknya;1;P5;False
22;Abu Salamah bin Abdul Asad;PERSON;INVOLVED_IN;Baiat Aqabah Kubra;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
23;Baiat Aqabah Kubra;EVENT;OCCURRED_AT;Madinah;LOCATION;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
24;Muhammad;PERSON;INVOLVED_IN;Baiat Aqabah Kubra;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
24;Muhammad;PERSON;INVOLVED_IN;Baiat Aqabah Kubra;EVENT;P6;Hijrah ke Madinah;1;P5;False
25;Abu Bakar;PERSON;INVOLVED_IN;Baiat Aqabah Kubra;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
26;Ali bin Abu Thalib;PERSON;INVOLVED_IN;Baiat Aqabah Kubra;EVENT;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
27;Baiat Aqabah Kubra;EVENT;OCCURRED_AT;Makkah;LOCATION;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;P5;True
27;Baiat Aqabah Kubra;EVENT;OCCURRED_AT;Makkah;LOCATION;P6;Hijrah ke Madinah;1;P5;False
28;Baiat Aqabah Kubra;EVENT;OCCURRED_ON;hari Kamis;TIME;P6;Hijrah ke Madinah;1;P5;False
29;Baiat Aqabah Kubra;EVENT;OCCURRED_ON;tanggal 26 Shafar;TIME;P6;Hijrah ke Madinah;1;P5;False
30;Baiat Aqabah Kubra;EVENT;OCCURRED_ON;tahun 14 dari nubuwah;TIME;P6;Hijrah ke Madinah;1;P5;False
31;Baiat Aqabah Kubra;EVENT;OCCURRED_ON;tanggal 12 September;TIME;P6;Hijrah ke Madinah;1;P5;False
32;Baiat Aqabah Kubra;EVENT;OCCURRED_ON;tahun 622 M;TIME;P6;Hijrah ke Madinah;1;P5;False
33;Perjanjian Hudaibiyah;EVENT;OCCURRED_ON;bulan Ramadhan;TIME;P7;Membangun Masyarakat Madinah;1;P11;False
34;Fathul Makkah;EVENT;OCCURRED_ON;bulan Ramadhan;TIME;P7;Membangun Masyarakat Madinah;1;P12;False
35;Al-Miqdad bin Amr;PERSON;INVOLVED_IN;Perang Abwa';EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
36;Muhammad;PERSON;INVOLVED_IN;Perang Abwa';EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
37;Sa'd bin Ubadah;PERSON;INVOLVED_IN;Perang Abwa';EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
38;Perang Abwa';EVENT;OCCURRED_ON;bulan Shafar 2 H;TIME;P7;Membangun Masyarakat Madinah;1;P8;False
39;Muhammad;PERSON;INVOLVED_IN;Perang Buwath;EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
40;Hamzah bin Abdul Muththalib;PERSON;INVOLVED_IN;Perang Buwath;EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
41;Umayyah bin Khalaf;PERSON;INVOLVED_IN;Perang Buwath;EVENT;P7;Membangun Masyarakat Madinah;1;P8;False
