period_id;period_label;phase;entity_type;unique_entities;total_occurrences;chunks_with_entity
P0;Konteks Arab Jahiliyah;Fase I — Pra-Islam & Latar Belakang;PERSON;89;158;50
P0;Konteks Arab Jahiliyah;Fase I — Pra-Islam & Latar Belakang;EVENT;0;0;0
P0;Konteks Arab Jahiliyah;Fase I — Pra-Islam & Latar Belakang;LOCATION;34;153;41
P0;Konteks Arab Jahiliyah;Fase I — Pra-Islam & Latar Belakang;TIME;20;22;12
P1;Nasab & Kelahiran Nabi;Fase I — Pra-Islam & Latar Belakang;PERSON;77;152;38
P1;Nasab & Kelahiran Nabi;Fase I — Pra-Islam & Latar Belakang;EVENT;1;2;2
P1;Nasab & Kelahiran Nabi;Fase I — Pra-Islam & Latar Belakang;LOCATION;13;61;29
P1;Nasab & Kelahiran Nabi;Fase I — Pra-Islam & Latar Belakang;TIME;7;7;3
P2;Awal Kenabian & Mandat Dakwah;Fase II — Periode Makkah;PERSON;20;53;18
P2;Awal Kenabian & Mandat Dakwah;Fase II — Periode Makkah;EVENT;0;0;0
P2;Awal Kenabian & Mandat Dakwah;Fase II — Periode Makkah;LOCATION;4;15;10
P2;Awal Kenabian & Mandat Dakwah;Fase II — Periode Makkah;TIME;11;18;6
P3;Dakwah Sirriyah;Fase II — Periode Makkah;PERSON;36;44;5
P3;Dakwah Sirriyah;Fase II — Periode Makkah;EVENT;0;0;0
P3;Dakwah Sirriyah;Fase II — Periode Makkah;LOCATION;3;4;3
P3;Dakwah Sirriyah;Fase II — Periode Makkah;TIME;0;0;0
P4;Dakwah Jahriyah & Tekanan Quraisy;Fase II — Periode Makkah;PERSON;81;208;53
P4;Dakwah Jahriyah & Tekanan Quraisy;Fase II — Periode Makkah;EVENT;2;4;3
P4;Dakwah Jahriyah & Tekanan Quraisy;Fase II — Periode Makkah;LOCATION;10;36;25
P4;Dakwah Jahriyah & Tekanan Quraisy;Fase II — Periode Makkah;TIME;5;9;6
P5;Dakwah di Luar Makkah & Isra Mi'raj;Fase II — Periode Makkah;PERSON;107;232;62
P5;Dakwah di Luar Makkah & Isra Mi'raj;Fase II — Periode Makkah;EVENT;6;12;11
P5;Dakwah di Luar Makkah & Isra Mi'raj;Fase II — Periode Makkah;LOCATION;17;92;46
P5;Dakwah di Luar Makkah & Isra Mi'raj;Fase II — Periode Makkah;TIME;8;8;4
P6;Hijrah ke Madinah;Fase II — Periode Makkah;PERSON;52;135;30
P6;Hijrah ke Madinah;Fase II — Periode Makkah;EVENT;1;1;1
P6;Hijrah ke Madinah;Fase II — Periode Makkah;LOCATION;11;42;21
P6;Hijrah ke Madinah;Fase II — Periode Makkah;TIME;14;17;6
P7;Membangun Masyarakat Madinah;Fase III — Periode Madinah Awal;PERSON;50;120;46
P7;Membangun Masyarakat Madinah;Fase III — Periode Madinah Awal;EVENT;9;10;6
P7;Membangun Masyarakat Madinah;Fase III — Periode Madinah Awal;LOCATION;12;61;39
P7;Membangun Masyarakat Madinah;Fase III — Periode Madinah Awal;TIME;13;16;11
P8;Perang Badr & Dampaknya;Fase IV — Periode Peperangan Besar;PERSON;77;181;48
P8;Perang Badr & Dampaknya;Fase IV — Periode Peperangan Besar;EVENT;4;19;17
P8;Perang Badr & Dampaknya;Fase IV — Periode Peperangan Besar;LOCATION;12;65;34
P8;Perang Badr & Dampaknya;Fase IV — Periode Peperangan Besar;TIME;10;10;7
P9;Perang Uhud & Satuan Pasukan Pasca Uhud;Fase IV — Periode Peperangan Besar;PERSON;82;173;44
P9;Perang Uhud & Satuan Pasukan Pasca Uhud;Fase IV — Periode Peperangan Besar;EVENT;8;26;18
P9;Perang Uhud & Satuan Pasukan Pasca Uhud;Fase IV — Periode Peperangan Besar;LOCATION;11;57;38
P9;Perang Uhud & Satuan Pasukan Pasca Uhud;Fase IV — Periode Peperangan Besar;TIME;14;16;10
P10;Perang Khandaq hingga Bani Mushthaliq;Fase IV — Periode Peperangan Besar;PERSON;100;283;74
P10;Perang Khandaq hingga Bani Mushthaliq;Fase IV — Periode Peperangan Besar;EVENT;6;20;20
P10;Perang Khandaq hingga Bani Mushthaliq;Fase IV — Periode Peperangan Besar;LOCATION;13;61;43
P10;Perang Khandaq hingga Bani Mushthaliq;Fase IV — Periode Peperangan Besar;TIME;22;32;18
P11;Hudaibiyah & Babak Baru Diplomasi;Fase V — Diplomasi & Ekspansi;PERSON;107;275;84
P11;Hudaibiyah & Babak Baru Diplomasi;Fase V — Diplomasi & Ekspansi;EVENT;7;16;13
P11;Hudaibiyah & Babak Baru Diplomasi;Fase V — Diplomasi & Ekspansi;LOCATION;17;113;63
P11;Hudaibiyah & Babak Baru Diplomasi;Fase V — Diplomasi & Ekspansi;TIME;18;27;14
P12;Perang Mu'tah & Penaklukan Makkah;Fase V — Diplomasi & Ekspansi;PERSON;70;138;40
P12;Perang Mu'tah & Penaklukan Makkah;Fase V — Diplomasi & Ekspansi;EVENT;5;6;6
P12;Perang Mu'tah & Penaklukan Makkah;Fase V — Diplomasi & Ekspansi;LOCATION;12;39;25
P12;Perang Mu'tah & Penaklukan Makkah;Fase V — Diplomasi & Ekspansi;TIME;4;5;5
