skenario,total_token,total_error,error_%,FN_PERSON,FP_PERSON,FNrate_PERSON_%,FN_LOCATION,FP_LOCATION,FNrate_LOCATION_%,FN_EVENT,FP_EVENT,FNrate_EVENT_%,FN_TIME,FP_TIME,FNrate_TIME_%
augmentation,42558,166,0.39,34,62,1.5,13,15,2.7,8,1,7.4,14,8,6.0
S1-baseline,42558,192,0.451,45,53,2.0,23,14,4.8,11,2,10.2,12,17,5.2
S2a-SCL,42558,197,0.463,28,69,1.2,15,26,3.2,11,1,10.2,9,22,3.9
S2b-JSCL,42558,212,0.498,34,72,1.5,19,30,4.0,10,1,9.3,12,17,5.2
distilbert,42558,216,0.508,17,90,0.7,18,22,3.8,10,1,9.3,14,29,6.0
POS-tag,42558,224,0.526,25,87,1.1,17,30,3.6,10,1,9.3,10,28,4.3
S2-weightedCE,42558,232,0.545,24,90,1.0,21,35,4.4,11,1,10.2,11,24,4.7
cahya(uncased),42558,243,0.571,35,96,1.5,24,19,5.1,11,3,10.2,12,26,5.2
roberta,42558,641,1.506,163,181,7.1,30,24,6.3,16,6,14.8,27,49,11.6
indobert-cased,42558,721,1.694,172,239,7.5,40,20,8.4,19,8,17.6,31,55,13.4
