name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Muhammad;0.541096;0.435143;0.603329;0.077433;79;0
Abu Jahal;0.356164;0.151094;0.49004;0.040381;52;2
Ali bin Abu Thalib;0.294521;0.093583;0.481627;0.023719;43;1
Abu Sufyan bin Harb;0.273973;0.01787;0.463716;0.021726;40;0
Umar bin Al-Khaththab;0.267123;0.01624;0.461807;0.020223;39;1
Abu Azzah;0.260274;0.007062;0.458037;0.018485;38;0
Zaid bin Haritsah;0.253425;0.00895;0.454329;0.017926;37;1
Rifa'ah bin Abdul Mundzir;0.041096;0.059046;0.37036;0.015261;6;4
Utsman bin Affan;0.232877;0.079108;0.454329;0.015175;34;1
Aisyah;0.143836;0.01858;0.433279;0.014717;21;0
Amr bin Umayyah;0.171233;0.036662;0.426689;0.014473;25;0
Abu Lahab;0.205479;0.000567;0.441808;0.014205;30;1
Hamzah bin Abdul Muththalib;0.205479;0.005125;0.440075;0.013932;30;1
Shafwan bin Umayyah;0.19863;0.0;0.43665;0.013671;29;1
Najasyi;0.205479;0.0;0.440075;0.01265;30;1
Wahb bin Umair;0.19863;0.0;0.43665;0.012527;29;1
Umair bin Wahb;0.19863;0.0;0.43665;0.012527;29;1
Zaid bin Ad-Dastinah;0.19863;0.0;0.43665;0.012085;29;1
Abdullah bin Abu Rabi'ah;0.19863;0.0;0.43665;0.012085;29;1
Ukkasyah bin Mihshan;0.19863;0.0;0.43665;0.012085;29;1
Abdurrahman bin Auf;0.19863;0.0;0.43665;0.012085;29;1
Ikrimah bin Abu Jahal;0.19863;0.0;0.43665;0.012085;29;1
Ibnu Ummi;0.19863;0.0;0.43665;0.012085;29;1
Amr bin Al-Ash;0.19863;0.0;0.43665;0.012085;29;1
Khunais bin Hudzafah;0.19863;0.0;0.43665;0.012085;29;1
Al-Abbas bin Abdul Muththalib;0.205479;0.019424;0.440075;0.011406;30;1
Abu Lubabah bin Abdul;0.19863;0.0;0.43665;0.010364;29;1
Abu Bakar;0.061644;0.024878;0.380404;0.009953;9;0
Abu Rafi';0.013699;9.4e-05;0.013699;0.009916;2;9
Syurahbil bin Hasyim;0.013699;9.4e-05;0.013699;0.009916;2;8
Zainab;0.19863;0.000985;0.43665;0.009642;29;1
Abdullah bin Jahsy;0.089041;0.011998;0.402219;0.0094;13;0
Abu Salamah bin Abdul Asad;0.09589;0.004393;0.411059;0.009167;14;0
Ummu Kultsum;0.205479;0.035562;0.440075;0.009073;30;1
Ka'b bin Al-Asyraf;0.089041;0.002834;0.402219;0.00902;13;0
Mush'ab bin Umair;0.09589;0.011998;0.395138;0.008814;14;3
Abdullah bin Abbas;0.19863;0.030019;0.43665;0.008476;29;1
Hasan bin Ali;0.19863;0.030019;0.43665;0.008476;29;1
Husain bin Ali;0.19863;0.030019;0.43665;0.008476;29;1
Siba bin Arfazhah;0.19863;0.030019;0.43665;0.008476;29;1
Ibrahim;0.020548;0.035616;0.365535;0.007992;3;5
As'ad bin Zurarah;0.089041;0.003769;0.403666;0.007948;13;0
Ummu Salamah;0.082192;0.003769;0.400783;0.007334;12;0
Khalid bin Al-Walid;0.082192;0.003769;0.400783;0.007334;12;0
Urwah bin Az-Zubair;0.082192;0.003769;0.400783;0.007334;12;0
Sa'd bin Mu'adz;0.082192;0.021351;0.385633;0.007252;12;3
Khadijah;0.027397;0.023902;0.367932;0.007029;4;6
Isma'il;0.013699;0.011998;0.259767;0.006961;2;5
Salma binti Amru;0.006849;0.0;0.006849;0.006803;1;13
Haritsah bin Amr;0.006849;0.0;0.006849;0.006803;1;11
Sulaith bin An- Nu'man;0.006849;0.0;0.006849;0.006803;1;16
Nu'aim bin Ma'ud;0.006849;0.0;0.006849;0.006803;1;16
Abdul Muththalib;0.006849;0.0;0.006849;0.006803;1;14
Fathimah binti Amr bin A'idz bin Imran bin Makhzum bin Yaqzhah bin Murrah;0.006849;0.0;0.006849;0.006803;1;14
Adi bin An-Najjar;0.006849;0.0;0.006849;0.006803;1;13
Hanifah bin Sha'b bin Ali bin Bakr;0.006849;0.0;0.006849;0.006803;1;12
Abu Jandal;0.006849;0.0;0.006849;0.006803;1;17
Haritsah bin Tsa'labah;0.006849;0.0;0.006849;0.006803;1;11
Bakr bin Wa'il;0.006849;0.0;0.006849;0.006803;1;12
Abu Bashir;0.006849;0.0;0.006849;0.006803;1;17
Abdullah bin Al-Mughirah;0.020548;0.023902;0.303295;0.006456;3;7
Tumadhir bin Al-Ashba';0.020548;0.023902;0.315222;0.006301;3;10
Jabir bin Abdullah;0.075342;0.0;0.383001;0.0063;11;3
Huyai bin Akhthab;0.075342;0.0;0.383001;0.0063;11;3
Zainab binti Jahsy;0.075342;0.0;0.383001;0.0063;11;3
Al-Mundzir bin Uqbah bin Amir;0.075342;0.0;0.383001;0.005467;11;3
Yusuf;0.034247;0.013618;0.374064;0.005262;5;0
Abu Zaid;0.006849;0.0;0.009132;0.005246;1;8
Amr bin Abdi;0.006849;0.0;0.009132;0.005246;1;8
Abdullah bin Unais;0.006849;0.0;0.009132;0.005246;1;9
Abdullah bin Atik;0.006849;0.0;0.009132;0.005246;1;9
Abu Hurairah;0.027397;0.0;0.361997;0.005099;4;0
Abu Musa;0.027397;0.0;0.361997;0.005099;4;0
Abdullah bin Ubay bin Salul;0.082192;0.020844;0.385633;0.005028;12;3
Abu Thalib;0.034247;0.011998;0.333986;0.004946;5;2
Umayyah;0.020548;0.011998;0.325273;0.004577;3;2
Amir bin Al-Akwa';0.027397;0.0;0.361997;0.004131;4;0
Maimunah binti Al-Harits Al-Amiriyah;0.013699;0.011998;0.360833;0.004076;2;0
Abul Huqaiq;0.013699;0.011998;0.360833;0.004076;2;0
Saudah binti Zam'ah;0.013699;0.011998;0.360833;0.004076;2;0
Jibril;0.013699;0.011998;0.360833;0.004076;2;0
Salamah bin Al-Akwa';0.027397;4.7e-05;0.361997;0.004058;4;0
Usamah bin Zaid;0.013699;0.011998;0.301664;0.003881;2;15
Bujair bin Zuhair;0.020548;0.0;0.360833;0.003857;3;0
Ka'b bin Zuhair;0.020548;0.0;0.360833;0.003857;3;0
Urwah bin Mas'ud;0.020548;0.0;0.360833;0.003857;3;0
Hakim bin Hizam;0.020548;0.011998;0.30661;0.003734;3;18
Waraqah bin Naufal;0.006849;0.0;0.259767;0.00341;1;6
Al-Harits bin Abdi;0.020548;0.0;0.360833;0.003256;3;0
Nu'man bin Qail;0.020548;0.0;0.360833;0.003256;3;0
Mu'adz bin Jabal;0.020548;0.0;0.360833;0.003256;3;0
Al-Mundzir bin Amr bin Khunais;0.006849;0.0;0.260975;0.003183;1;4
Usaid bin Hudhair bin Sammak;0.006849;0.0;0.260975;0.003183;1;4
Sa'd bin Ubadah bin Dulaim;0.006849;0.0;0.260975;0.003183;1;4
Ubadah bin Ash-Shamit bin Qais;0.006849;0.0;0.260975;0.003183;1;4
Sa'd bin Khaitsamah bin Al-Harits;0.006849;0.0;0.260975;0.003183;1;4
Mudhadh bin Amr;0.006849;0.0;0.20075;0.002993;1;5
Amar bin Al-Hadhrami;0.006849;0.0;0.225793;0.00285;1;7
Al-Hakam bin Kaisan;0.006849;0.0;0.225793;0.00285;1;7
Ummu Abi;0.006849;0.0;0.232338;0.002806;1;10
Sa'd bin Bakr;0.006849;0.0;0.232338;0.002806;1;10
Adam;0.006849;0.0;0.256208;0.002753;1;0
Shafiyyah binti Huyai bin Akhthab;0.006849;0.0;0.256208;0.002753;1;0
Sakran bin Amr;0.006849;0.0;0.256208;0.002753;1;0
Ja'far bin Abu Thalib;0.006849;0.0;0.256208;0.002753;1;0
Muhammad bin Abdullah bin Abdul Muththalib bin Hasyim;0.006849;0.0;0.25857;0.002719;1;5
Mirdas bin Nuhaik;0.006849;0.0;0.224888;0.00267;1;15
Ummu Jamil;0.006849;0.0;0.358528;0.002453;1;0
Ummu Misthah;0.013699;0.0;0.360833;0.002335;2;0
Sallam bin Abul Huqaiq;0.013699;0.0;0.359677;0.00233;2;0
Zaid bin Haritsah bin Syurahbil;0.006849;0.0;0.259767;0.002215;1;6
Budail bin Zarqa';0.006849;0.0;0.227625;0.002078;1;18
Salamah bin Abu Salamah;0.013699;0.0;0.312588;0.002068;2;0
Abu Shafwan;0.006849;0.0;0.237752;0.001993;1;2
Abu Sufyan bin Al-Harits bin Abdul Muththalib;0.006849;0.0;0.262808;0.001915;1;0
Bilal bin Rabah;0.006849;0.0;0.242374;0.001861;1;2
Abdullah bin Uraiqith;0.006849;0.0;0.265922;0.001809;1;0
Amir bin Fuhairah;0.006849;0.0;0.265922;0.001809;1;0
Adi bin Hatim;0.006849;0.0;0.358528;0.001737;1;0
Heraklius;0.006849;0.0;0.358528;0.001737;1;0
Abd bin Al-Julunda;0.006849;0.0;0.358528;0.001737;1;0
Maimunah;0.006849;0.0;0.358528;0.001737;1;0
Ka'b bin Malik;0.006849;0.0;0.358528;0.001737;1;0
Usaid bin Hudhair;0.006849;0.0;0.358528;0.001737;1;0
Ibnu Qami'ah;0.006849;0.0;0.358528;0.001737;1;0
Ummul Khair;0.006849;0.0;0.358528;0.001737;1;0
Ummu Jamil binti Al-Khaththab;0.006849;0.0;0.358528;0.001737;1;0
Juwairiyah;0.006849;0.0;0.358528;0.001737;1;0
Ka'b bin Asad;0.006849;0.0;0.358528;0.001737;1;0
Umayyah bin Khalaf;0.006849;0.0;0.315222;0.001652;1;2
Uqbah bin Abu Mu'aith;0.006849;0.0;0.315222;0.001652;1;2
Jubair bin Muth'im;0.006849;0.0;0.315222;0.001652;1;2
Thu'aimah bin Adi;0.006849;0.0;0.315222;0.001652;1;2
Al-Harits bin Amir;0.006849;0.0;0.315222;0.001652;1;2
Naufal bin Abdi;0.006849;0.0;0.315222;0.001652;1;2
Abul Hakam;0.006849;0.0;0.315222;0.001652;1;2
Al-Hakam bin Abul Ash;0.006849;0.0;0.315222;0.001652;1;2
Utbah bin Rabi'ah;0.006849;0.0;0.315222;0.001652;1;2
Zam'ah bin Al-Aswad;0.006849;0.0;0.315222;0.001652;1;2
Syaibah bin Rabi'ah;0.006849;0.0;0.315222;0.001652;1;2
An-Nadhr bin Al-Harits;0.006849;0.0;0.315222;0.001652;1;2
Hilal bin Amir bin Sha'sha'ah;0.006849;0.0;0.276402;0.001639;1;0
Abu Aziz;0.006849;0.0;0.273039;0.001631;1;3
Hafshah;0.006849;0.0;0.290723;0.001619;1;0
Ruqayah binti Rasulullah;0.006849;0.0;0.300051;0.001612;1;1
Ashhamah bin Al-Aijar;0.006849;0.0;0.287741;0.001587;1;0
Al-Miqdad bin Amr;0.006849;0.0;0.358528;0.001411;1;0
