name;degree;weighted_degree;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;frequency;periode_bab;page_range;community
Perang Badr;35;81;0.686275;0.039604;0.691765;0.069464;66;Perang Badr & Dampaknya;266-304;0
Perang Uhud;34;67;0.666667;0.13023;0.678201;0.060153;55;Perang Uhud & Satuan Pasukan Pasca Uhud;324-375;0
Perang Khandaq;32;47;0.627451;0.065361;0.652608;0.042764;24;Perang Khandaq hingga Bani Mushthaliq;390-404;0
Hijrah Ke Madinah;30;52;0.588235;0.019428;0.640523;0.042721;26;Hijrah ke Madinah;214-232;0
Kelahiran Nabi;31;44;0.607843;0.036954;0.652608;0.038951;29;Nasab & Kelahiran Nabi;73-93;12
Wafat Nabi;28;41;0.54902;0.011708;0.617647;0.034068;21;Penaklukan Makkah hingga Akhir Kenabian;601-610;0
Wahyu Pertama;30;37;0.588235;0.040029;0.640523;0.032771;15;Awal Kenabian & Mandat Dakwah;94-105;12
Baiat Aqabah Kubra;27;39;0.529412;0.000424;0.596349;0.031597;4;Dakwah di Luar Makkah & Isra Mi'raj;203-209;0
Pemboikotan Bani Hasyim;29;35;0.568627;0.01138;0.617647;0.029416;9;Dakwah Jahriyah & Tekanan Quraisy;152-160;12
Perang Bani Al-Ashfar;27;36;0.529412;0.000829;0.596349;0.02932;1;Perang Mu'tah & Penaklukan Makkah;515-517;0
Perang Khaibar;27;36;0.529412;0.004405;0.596349;0.029313;13;Hudaibiyah & Babak Baru Diplomasi;473-492;5
Perang Dzul Usyairah;29;32;0.568627;0.02435;0.617647;0.028829;1;Perang Badr & Dampaknya;266-304;7
Perang;28;34;0.54902;0.006691;0.606811;0.028085;1;Dakwah Jahriyah & Tekanan Quraisy;121-129;5
Perang Dzatur Riqa;27;33;0.529412;0.0042;0.596349;0.027075;3;Perang Uhud & Satuan Pasukan Pasca Uhud;385-497;5
Perang Tha'If;28;32;0.54902;0.010931;0.606811;0.027057;4;Perang Uhud & Satuan Pasukan Pasca Uhud;340-590;5
