name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Muhammad;0.651341;0.265114;0.685007;0.039344;170;0
Abu Jahal;0.436782;0.0778;0.564622;0.014947;114;0
Amr Bin Umayyah;0.455939;0.03766;0.55772;0.014323;119;2
Abu Bakar;0.425287;0.036651;0.548335;0.014293;111;0
Aisyah;0.421456;0.02902;0.54702;0.014076;110;0
Abdullah Bin Ubay;0.452107;0.03406;0.556359;0.013767;118;2
Ali bin Abu Thalib;0.444444;0.020131;0.556359;0.013539;116;0
Utsman Bin Affan;0.398467;0.027401;0.536723;0.011586;104;2
Abu Sufyan bin Harb;0.398467;0.016765;0.535463;0.011287;104;2
Umar bin Al-Khaththab;0.394636;0.013231;0.534209;0.010477;103;2
Abdullah Bin Jahsy;0.390805;0.007113;0.532961;0.010329;102;2
Abu Azzah;0.390805;0.007266;0.532961;0.010205;102;2
Hamzah bin Abdul Muththalib;0.298851;0.054874;0.501335;0.009732;78;0
Ali Bin Abu Thalib;0.268199;0.054441;0.488452;0.009416;70;1
Mush'Ab Bin Umair;0.249042;0.034445;0.480226;0.008706;65;2
Abu Sa'Id;0.226054;0.054;0.476216;0.008644;59;2
Umar Bin Al-Khaththab;0.295019;0.028512;0.499141;0.008605;77;1
Umayyah Bin Khalaf;0.260536;0.014899;0.477212;0.007637;68;0
Khadijah;0.072797;0.036056;0.423991;0.007323;19;0
Ka'B;0.02682;0.042529;0.404446;0.007193;7;0
Abu Lahab;0.245211;0.014379;0.473252;0.006921;64;1
Zainab;0.249042;0.00309;0.476216;0.006818;65;0
Ikrimah Bin Abu Jahl;0.245211;0.014767;0.473252;0.006792;64;1
Abu Hurairah;0.249042;0.003892;0.474236;0.006789;65;1
Abu Musa;0.249042;0.003892;0.474236;0.006789;65;1
Ibnu Ummi;0.249042;0.003462;0.474236;0.006628;65;1
Jibril;0.084291;0.015609;0.429581;0.006474;22;0
Najasyi;0.249042;0.005295;0.474236;0.006363;65;1
Hakim Bin Hizam;0.241379;0.007586;0.472272;0.006311;63;1
Ummul Fadhl;0.241379;0.007281;0.472272;0.006301;63;1
Ibnu Hajar;0.214559;0.017928;0.474236;0.006273;56;0
Abul Bakhtari bin Hisyam;0.241379;0.002613;0.472272;0.006223;63;1
Zaid bin Haritsah;0.241379;0.005473;0.473252;0.006184;63;1
Jabir Bin Abdullah;0.203065;0.014869;0.463633;0.006116;53;2
Hamzah Bin Abdul Muththalib;0.237548;0.000118;0.471296;0.005935;62;1
Shafwan Bin Umayyah;0.237548;0.000119;0.471296;0.005917;62;1
Khalid Bin Al-Walid;0.203065;0.004505;0.463633;0.005836;53;2
Abdurrahman;0.237548;0.00045;0.471296;0.005798;62;1
Bilal bin Rabah;0.241379;0.003117;0.472272;0.005797;63;1
Abu Lubabah Bin Abdul;0.237548;0.000424;0.471296;0.005785;62;1
Thu'Aimah Bin Adi;0.237548;0.000119;0.471296;0.005781;62;1
Utsman bin Affan;0.199234;0.014593;0.463633;0.005755;52;2
Ummu Kultsum;0.237548;0.000448;0.471296;0.005753;62;1
Al-Abbas bin Abdul Muththalib;0.237548;0.000473;0.471296;0.00575;62;1
Wahb Bin Umair;0.237548;0.000473;0.471296;0.005746;62;1
Umair Bin Wahb;0.237548;0.000473;0.471296;0.005746;62;1
Siba Bin Arfazhah;0.237548;0.000473;0.471296;0.005703;62;1
Wahsy Bin Harb;0.237548;0.000473;0.471296;0.005703;62;1
Ukkasyah Bin Mihshan;0.237548;0.000473;0.471296;0.005703;62;1
Ubadah Bin Ash-Shamit;0.237548;0.000473;0.471296;0.005703;62;1
Zaid Bin Ad-Datsinah;0.237548;0.000473;0.471296;0.005703;62;1
Uqbah Bin Al-Harits;0.237548;0.000473;0.471296;0.005703;62;1
Jubair Bin Muth'Im;0.237548;0.000473;0.471296;0.005703;62;1
Kurz Bin Jabir;0.237548;0.000473;0.471296;0.005703;62;1
Abdullah Bin Abu Rabi'Ah;0.237548;0.000473;0.471296;0.005703;62;1
Khunais Bin Hudzafah;0.237548;0.000473;0.471296;0.005703;62;1
Ali Bin Umayyah;0.237548;0.000473;0.471296;0.005703;62;1
Abu Rasulullah;0.237548;0.000473;0.471296;0.005703;62;1
Abdurrahman Bin Auf;0.237548;0.000473;0.471296;0.005703;62;1
Ja'Far;0.237548;0.000473;0.471296;0.005703;62;1
Abu Shafwan;0.237548;0.000473;0.471296;0.005703;62;1
Abu Sufyan Bin Harb;0.237548;0.000473;0.471296;0.005703;62;1
Abdullah bin Abbas;0.237548;0.000473;0.471296;0.005703;62;1
Abul Ash Bin Ar-Rabi;0.237548;0.000473;0.471296;0.005703;62;1
Al-Aswad Bin Al-Muththalib;0.237548;0.000473;0.471296;0.005703;62;1
Abul Ash;0.237548;0.000473;0.471296;0.005703;62;1
Hasan bin Ali;0.237548;0.000473;0.471296;0.005703;62;1
Amr Bin Al-Ash;0.237548;0.000473;0.471296;0.005703;62;1
