name;degree;weighted_degree;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;frequency;periode_bab;page_range;community
Perang Badr;33;85;0.75;0.015553;0.763214;0.07986;66;Satuan-satuan Pasukan Sebelum Perang Badr;256-265;0
Perang Uhud;34;68;0.772727;0.144155;0.781385;0.066991;55;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307;0
Perang Khandaq;33;56;0.75;0.098913;0.763214;0.05542;24;Perang Burhan;321-323;0
Uhud;28;41;0.636364;0.011632;0.683712;0.036854;3;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307;0
Hudaibiyah;29;40;0.659091;0.014196;0.698259;0.036533;15;PERJANJIAN HUDAIBIYAH;433-450;0
Baiat Aqabah Kubra;28;39;0.636364;0.010707;0.683712;0.035258;4;BAIAT AQABAH KEDUA;203-209;0
Perang Khaibar;27;37;0.613636;0.043001;0.669759;0.033937;13;PERANG KHAIBAR DAN WADIL QURA;473-492;1
Perang Dzul Usyairah;28;37;0.636364;0.004322;0.683712;0.033805;1;Perang Dumatul Jandal;387-389;0
Perang Dzatur Riqa';26;33;0.590909;0.006663;0.656364;0.029869;3;Perang Dzatur Riqa’;493-497;1
Perang Bani Al-Ashfar;27;32;0.613636;0.005996;0.669759;0.029439;1;Perang Bani Nadhir;382-389;0
Isra';27;28;0.613636;0.044293;0.669759;0.02904;18;;;1
Al-Umawi;27;31;0.613636;0.007109;0.669759;0.02882;1;Al-Qur’an;169-173;1
Perang Tha'if;27;31;0.613636;0.011941;0.669759;0.028721;4;Perang Tha’if;544-551;1
Perang Tabuk;26;30;0.590909;0.001188;0.656364;0.027621;8;PERANG TABUK;558-571;1
Perjanjian Hudaibiyah;26;30;0.590909;0.002332;0.656364;0.027592;13;PERJANJIAN HUDAIBIYAH;433-450;1
Perang Mu'tah;26;30;0.590909;0.002555;0.656364;0.027551;6;PERANG MU’TAH;502-510;1
Perang Bu'ats;26;29;0.590909;0.001332;0.656364;0.02683;6;Perang Burhan;321-323;1
Perang Buwath;26;29;0.590909;0.007558;0.656364;0.02674;1;Perang Burhan;321-323;1
Khaibar;26;29;0.590909;0.007063;0.656364;0.026704;5;PERANG KHAIBAR DAN WADIL QURA;473-492;1
Perang Abwa';27;28;0.613636;0.015154;0.669759;0.026165;1;PERANG TABUK;558-571;1
Hijrah;26;28;0.590909;0.010353;0.656364;0.02593;4;Hijrah ke Habasyah yang Pertama;130-151;1
Perang Hunain;26;28;0.590909;0.009676;0.656364;0.02592;6;PERANG HUNAIN;538-551;1
Baiat Aqabah;26;28;0.590909;0.009444;0.656364;0.025908;2;BAIAT AQABAH PERTAMA;198-202;1
Perang Al-Yamamah;26;27;0.590909;0.007703;0.656364;0.025146;1;PERANG MU’TAH;502-510;1
Perang Fijar;26;27;0.590909;0.010408;0.656364;0.025135;3;Perang Fijar;87-93;1
Perang Bani Mushthaliq;26;26;0.590909;0.010494;0.656364;0.024343;2;Perang Bani Nadhir;382-389;1
Hunain;26;26;0.590909;0.010494;0.656364;0.024343;3;PERANG HUNAIN;538-551;1
Perang Bani Quraizhah;11;13;0.25;0.011149;0.497245;0.01592;2;PERANG BANI QURAIZHAH;405-411;0
Perang Badr Ula;8;11;0.181818;0.002817;0.475626;0.01278;1;PERANG BADR KUBRA;266-304;0
Perang Yarmuk;6;6;0.136364;0.002895;0.462228;0.008591;2;PERANG TABUK;558-571;0
Fathul Makkah;2;3;0.045455;0.0;0.431818;0.006194;3;Peringatan di Makkah;267-304;0
Perang As-Sawiq;2;3;0.045455;0.0;0.431818;0.006194;2;Perang As-Sawiq;315-323;0
Badr;2;3;0.045455;0.0;0.41542;0.006136;5;Satuan-satuan Pasukan Sebelum Perang Badr;256-265;0
Perang Bani Nadhir;2;2;0.045455;0.0;0.41542;0.005642;3;Perang Bani Nadhir;382-389;0
Perang Asafan;2;2;0.045455;0.000575;0.431818;0.005438;3;Perang As-Sawiq;315-323;0
Perang Riddah;2;2;0.045455;0.000575;0.431818;0.005438;1;Perang Burhan;321-323;0
Perang Safawan;2;2;0.045455;0.000311;0.431818;0.005399;1;Perang As-Sawiq;315-323;0
Mi'raj;1;1;0.022727;0.0;0.381607;0.004641;2;;;1
Perang Bani Qainuqa';1;1;0.022727;0.0;0.41542;0.004597;1;Perang Bani Qainuqa’;310-323;0
Perang Hamra'ul Asad;0;0;0.0;0.0;0.0;0.003759;1;Perang Hamra’ul-Asad;368-375;6
Perang Badr Kubra;0;0;0.0;0.0;0.0;0.003759;1;PERANG BADR KUBRA;266-304;4
Perang Badr Shughra;0;0;0.0;0.0;0.0;0.003759;1;PERANG BADR KUBRA;266-304;5
Isra' Mi'raj;0;0;0.0;0.0;0.0;0.003759;1;ISRA’ DAN MI’RAJ;191-197;3
Isra' Dan Mi'raj;0;0;0.0;0.0;0.0;0.003759;1;ISRA’ DAN MI’RAJ;191-197;2
Hamra'ul Asad;0;0;0.0;0.0;0.0;0.003759;1;Perang Hamra’ul-Asad;368-375;7
