name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Muhammad;0.470383;0.488319;0.584986;0.047406;135;0
Abdullah;0.202091;0.17589;0.441557;0.035506;58;1
Ma'ad;0.174216;0.107647;0.418819;0.032445;50;1
Matausyalakh;0.076655;0.112536;0.304504;0.023227;22;3
Abu Jahal;0.296167;0.066958;0.442331;0.020009;85;4
Ali bin Abu Thalib;0.28223;0.043337;0.446246;0.017266;81;0
Umar bin Al-Khaththab;0.275261;0.008931;0.440016;0.01467;79;0
Abu Bakar;0.261324;0.016089;0.433211;0.013767;75;0
Aisyah;0.254355;0.010415;0.431728;0.012847;73;0
Abu Sufyan bin Harb;0.254355;0.012241;0.431728;0.012137;73;0
Syalakh;0.041812;0.00826;0.24622;0.011653;12;3
Utsman bin Affan;0.254355;0.056357;0.432468;0.01102;73;0
Abu Azzah;0.243902;0.00084;0.428791;0.010311;70;0
Zaid bin Haritsah;0.188153;0.065154;0.449428;0.008518;54;2
Mush'ab bin Umair;0.142857;0.006981;0.411303;0.00819;41;0
Al-Barra';0.135889;0.026112;0.409966;0.008016;39;0
Amr bin Umayyah;0.146341;0.009545;0.407976;0.007672;42;0
Rifa'ah bin Abdul Mundzir;0.020906;0.032407;0.365935;0.007481;6;7
Abdullah bin Ubay bin Salul;0.146341;0.006073;0.407976;0.00743;42;0
Abu Lahab;0.160279;0.0308;0.440785;0.00741;46;2
Umayyah bin Khalaf;0.160279;0.010526;0.40666;0.006856;46;2
Jabir bin Abdullah;0.149826;0.016219;0.408637;0.006779;43;0
Ibnu Hajar;0.12892;0.009499;0.40666;0.006728;37;0
Zainab;0.156794;9.5e-05;0.406005;0.006652;45;2
Abu Sa'id;0.045296;0.038815;0.376312;0.006586;13;0
Khunais bin Hudzafah;0.156794;0.0;0.406005;0.006512;45;2
Hamzah bin Abdul Muththalib;0.156794;0.000699;0.406005;0.006389;45;2
Abdurrahman;0.156794;0.008041;0.40666;0.006256;45;2
Shafwan bin Umayyah;0.15331;2e-06;0.405352;0.006128;44;2
Thu'aimah bin Adi;0.15331;2e-06;0.405352;0.006044;44;2
Abdullah bin Jahsy;0.121951;0.00653;0.403406;0.006006;35;0
Bilal bin Rabah;0.156794;0.002878;0.406005;0.005836;45;2
Ka'b bin Al-Asyraf;0.121951;0.00148;0.403406;0.005822;35;0
An-Nadhr bin Al-Harits;0.15331;2e-06;0.405352;0.005803;44;2
Najasyi;0.156794;2e-06;0.40666;0.005782;45;2
Ibnu Ummi;0.15331;2e-06;0.405352;0.00578;44;2
Umair bin Wahb;0.15331;2e-06;0.405352;0.005756;44;2
Wahb bin Umair;0.15331;2e-06;0.405352;0.005756;44;2
Abu Salamah bin Abdul Asad;0.118467;0.0;0.402762;0.005692;34;0
Ikrimah bin Abu Jahal;0.15331;2e-06;0.405352;0.005622;44;2
Uqbah bin Al-Harits;0.15331;2e-06;0.405352;0.005622;44;2
Abdullah bin Abu Bakar;0.15331;2e-06;0.405352;0.005622;44;2
Abdurrahman bin Auf;0.15331;2e-06;0.405352;0.005622;44;2
Zaid bin Ad-Dastinah;0.15331;2e-06;0.405352;0.005622;44;2
Ali bin Umayyah;0.15331;2e-06;0.405352;0.005622;44;2
Al-Aswad bin Al-Muththalib;0.15331;2e-06;0.405352;0.005622;44;2
Amr bin Al-Ash;0.15331;2e-06;0.405352;0.005622;44;2
Ukkasyah bin Mihshan;0.15331;2e-06;0.405352;0.005622;44;2
Ubadah bin Ash-Shamit;0.15331;2e-06;0.405352;0.005622;44;2
Abu Thalhah;0.121951;0.000138;0.407317;0.00562;35;0
Khalid bin Al-Walid;0.118467;0.0;0.402762;0.005415;34;0
As'ad bin Zurarah;0.118467;0.0;0.402762;0.005357;34;0
Bakar Ash-Shidddiq;0.118467;0.0;0.402762;0.005196;34;0
Naf' bin Jubair;0.118467;0.0;0.402762;0.005196;34;0
Qais bin Abu Hazim;0.118467;0.0;0.402762;0.005196;34;0
Musa bin Uqbah;0.118467;0.0;0.402762;0.005196;34;0
Rafi' bin Khadij;0.118467;0.0;0.402762;0.005196;34;0
Samurah bin Jundab;0.118467;0.0;0.402762;0.005196;34;0
Sulaith;0.118467;0.0;0.402762;0.005196;34;0
Thalhah bin Ubaidillah;0.118467;0.0;0.402762;0.005196;34;0
Ummu Sa'd;0.118467;0.0;0.402762;0.005196;34;0
Ummu Salamah;0.118467;0.0;0.402762;0.005196;34;0
Urwah bin Az-Zubair;0.118467;0.0;0.402762;0.005196;34;0
Ummu Aiman;0.118467;0.0;0.402762;0.005196;34;0
Al-Abbas bin Abdul Muththalib;0.156794;0.009449;0.40666;0.005164;45;2
Abu Rafi';0.006969;2.4e-05;0.006969;0.005059;2;10
Syurahbil bin Hasyim;0.006969;2.4e-05;0.006969;0.005059;2;9
Jubair bin Muth'im;0.15331;2e-06;0.405352;0.004978;44;2
Abu Lubabah bin Abdul;0.15331;2e-06;0.405352;0.004798;44;2
Abu Dujanah;0.121951;0.008803;0.407317;0.004742;35;0
Ibrahim;0.013937;0.109305;0.387891;0.004694;4;3
Ummu Kultsum;0.156794;0.001579;0.406005;0.004679;45;2
Hasan bin Ali;0.156794;0.000966;0.406005;0.004673;45;2
Khadijah;0.027875;0.019809;0.36861;0.004569;8;0
Husain bin Ali;0.156794;0.001831;0.406005;0.004536;45;2
Fathimah;0.034843;0.001749;0.393337;0.004277;10;1
A'idz;0.034843;0.001749;0.393337;0.004277;10;1
Yaqzhah;0.034843;0.001749;0.393337;0.004277;10;1
Makhzum;0.034843;0.001749;0.393337;0.004277;10;1
Imran;0.034843;0.001749;0.393337;0.004277;10;1
Amr;0.034843;0.001749;0.393337;0.004277;10;1
Murrah;0.031359;4.2e-05;0.30377;0.004169;9;1
Abdul Muththalib;0.031359;4.2e-05;0.30377;0.004169;9;1
Mu'adz bin Amr;0.027875;0.013036;0.365935;0.004045;8;5
Abul Ash;0.15331;0.015952;0.405352;0.003899;44;2
Siba bin Arfazhah;0.15331;0.015952;0.405352;0.003899;44;2
Ummul Fadhl;0.15331;0.015952;0.405352;0.003899;44;2
Wahsy bin Harb;0.15331;0.015952;0.405352;0.003899;44;2
Abdullah bin Abbas;0.15331;0.015952;0.405352;0.003899;44;2
Musailamah;0.02439;0.00653;0.365404;0.003531;7;5
Hanifah bin Sha'b bin Ali bin Bakr;0.003484;0.0;0.003484;0.003472;1;14
Salma binti Amru;0.003484;0.0;0.003484;0.003472;1;15
Abu Jandal;0.003484;0.0;0.003484;0.003472;1;19
Sulaith bin An- Nu'man;0.003484;0.0;0.003484;0.003472;1;18
Nu'aim bin Ma'ud;0.003484;0.0;0.003484;0.003472;1;18
Bakr bin Wa'il;0.003484;0.0;0.003484;0.003472;1;14
Kurz bin Jabir;0.003484;0.0;0.003484;0.003472;1;12
Abu Bashir;0.003484;0.0;0.003484;0.003472;1;19
Adi bin An-Najjar;0.003484;0.0;0.003484;0.003472;1;15
Sa'd bin Abu Waqqash;0.003484;0.0;0.003484;0.003472;1;12
Haritsah bin Amr;0.003484;0.0;0.003484;0.003472;1;13
Haritsah bin Tsa'labah;0.003484;0.0;0.003484;0.003472;1;13
Al-Barra' bin Azib;0.118467;0.045204;0.402762;0.00341;34;0
Isma'il;0.006969;0.00653;0.27525;0.00337;2;3
Adam;0.013937;0.03542;0.319151;0.003293;4;3
Shafiyyah binti Huyai bin Akhthab;0.02439;9.4e-05;0.279522;0.003191;7;1
Tumadhir bin Al-Ashba';0.010453;0.013036;0.304136;0.003017;3;11
Abu Musa;0.020906;4.9e-05;0.363298;0.003013;6;6
Ka'b bin Zuhair;0.020906;0.0;0.364875;0.00288;6;5
Urwah bin Mas'ud;0.020906;0.0;0.364875;0.00288;6;5
Bujair bin Zuhair;0.020906;0.0;0.364875;0.00288;6;5
Sa'd bin Mu'adz;0.045296;0.01228;0.375192;0.002718;13;0
Abu Zaid;0.003484;0.0;0.004646;0.002679;1;9
Abdullah bin Unais;0.003484;0.0;0.004646;0.002679;1;10
Abdullah bin Atik;0.003484;0.0;0.004646;0.002679;1;10
Amr bin Abdi;0.003484;0.0;0.004646;0.002679;1;9
Syaima' binti Al-Harits;0.020906;0.0;0.364875;0.002541;6;5
Abu Hurairah;0.017422;0.0;0.362775;0.002386;5;6
Musa bin Imran;0.017422;0.002315;0.365404;0.002254;5;0
Syaits;0.006969;0.0;0.230255;0.002245;2;3
Nuh;0.006969;0.0;0.230255;0.002245;2;3
Sam;0.006969;0.0;0.230255;0.002245;2;3
Lamk;0.006969;0.0;0.230255;0.002245;2;3
Qainan;0.006969;0.0;0.230255;0.002245;2;3
Akhnukh;0.006969;0.0;0.230255;0.002245;2;3
Yanisya;0.006969;0.0;0.230255;0.002245;2;3
Idris;0.006969;0.0;0.230255;0.002245;2;3
Yard;0.006969;0.0;0.230255;0.002245;2;3
Mahla'il;0.006969;0.0;0.230255;0.002245;2;3
Zainab binti Jahsy;0.038328;0.0;0.372421;0.002179;11;0
Huyai bin Akhthab;0.038328;0.0;0.372421;0.002179;11;0
Abdullah bin Al-Mughirah;0.010453;0.006628;0.298025;0.002111;3;4
Ka'b bin Malik;0.010453;0.0;0.388488;0.002079;3;0
Amir bin Al-Akwa';0.017422;0.0;0.362775;0.002022;5;6
Salamah bin Al-Akwa';0.017422;8e-06;0.362775;0.001978;5;6
Al-Miqdad bin Amr;0.017422;8e-06;0.362775;0.001978;5;6
Yusuf;0.017422;0.00653;0.368071;0.001932;5;0
Al-Mundzir bin Uqbah bin Amir;0.038328;0.0;0.372421;0.001912;11;0
Sallam bin Misykam;0.006969;0.00653;0.361734;0.001889;2;20
Saudah binti Zam'ah;0.006969;0.00653;0.361734;0.001889;2;16
Umayyah;0.010453;0.00653;0.303404;0.001867;3;4
Usamah bin Zaid;0.006969;0.00653;0.296972;0.001753;2;17
Al-Qurthubi;0.013937;0.0;0.363822;0.001753;4;0
Jibril;0.010453;0.005032;0.374079;0.001745;3;3
Hakim bin Hizam;0.013937;0.00653;0.30304;0.001742;4;4
Amr bin Al-Hadhrami;0.010453;0.000487;0.302676;0.001704;3;4
Abqar;0.006969;0.0;0.30087;0.001594;2;1
Nahits;0.006969;0.0;0.30087;0.001594;2;1
Makhi;0.006969;0.0;0.30087;0.001594;2;1
Aidh;0.006969;0.0;0.30087;0.001594;2;1
Thabikh;0.006969;0.0;0.30087;0.001594;2;1
Ubaid;0.006969;0.0;0.30087;0.001594;2;1
Ad-Da'a;0.006969;0.0;0.30087;0.001594;2;1
Hamdan;0.006969;0.0;0.30087;0.001594;2;1
Sinbar;0.006969;0.0;0.30087;0.001594;2;1
Jahim;0.006969;0.0;0.30087;0.001594;2;1
Udad;0.006969;0.0;0.30087;0.001594;2;1
Yadlaf;0.006969;0.0;0.30087;0.001594;2;1
Ghalib;0.006969;0.0;0.30087;0.001594;2;1
Amir;0.006969;0.0;0.30087;0.001594;2;1
Mudrikah;0.006969;0.0;0.30087;0.001594;2;1
Khuzaimah;0.006969;0.0;0.30087;0.001594;2;1
Kinanah;0.006969;0.0;0.30087;0.001594;2;1
Qais;0.006969;0.0;0.30087;0.001594;2;1
An-Nadhr;0.006969;0.0;0.30087;0.001594;2;1
Quraisy;0.006969;0.0;0.30087;0.001594;2;1
Fihr;0.006969;0.0;0.30087;0.001594;2;1
Lu'ay;0.006969;0.0;0.30087;0.001594;2;1
Mudhar;0.006969;0.0;0.30087;0.001594;2;1
Kilab;0.006969;0.0;0.30087;0.001594;2;1
Qushay;0.006969;0.0;0.30087;0.001594;2;1
Al-Mughirah;0.006969;0.0;0.30087;0.001594;2;1
Abdu Manaf;0.006969;0.0;0.30087;0.001594;2;1
Baldas;0.006969;0.0;0.30087;0.001594;2;1
Syaibah;0.006969;0.0;0.30087;0.001594;2;1
Amru;0.006969;0.0;0.30087;0.001594;2;1
Hasyim;0.006969;0.0;0.30087;0.001594;2;1
Ilyas;0.006969;0.0;0.30087;0.001594;2;1
Malik;0.006969;0.0;0.30087;0.001594;2;1
Nizar;0.006969;0.0;0.30087;0.001594;2;1
Aush;0.006969;0.0;0.30087;0.001594;2;1
Hamaisa';0.006969;0.0;0.30087;0.001594;2;1
Haza;0.006969;0.0;0.30087;0.001594;2;1
Nasyid;0.006969;0.0;0.30087;0.001594;2;1
Awwam;0.006969;0.0;0.30087;0.001594;2;1
Ubay;0.006969;0.0;0.30087;0.001594;2;1
Qimwal;0.006969;0.0;0.30087;0.001594;2;1
Bagian;0.006969;0.0;0.30087;0.001594;2;1
Bauz;0.006969;0.0;0.30087;0.001594;2;1
Salaman;0.006969;0.0;0.30087;0.001594;2;1
Abul Bakhtari bin Hisyam;0.010453;0.00653;0.301951;0.00159;3;4
Al-Mundzir bin Amr bin Khunais;0.003484;0.0;0.263458;0.001581;1;7
Sa'd bin Ubadah bin Dulaim;0.003484;0.0;0.263458;0.001581;1;7
Ubadah bin Ash-Shamit bin Qais;0.003484;0.0;0.263458;0.001581;1;7
Usaid bin Hudhair bin Sammak;0.003484;0.0;0.263458;0.001581;1;7
Sa'd bin Khaitsamah bin Al-Harits;0.003484;0.0;0.263458;0.001581;1;7
Ja'far bin Abu Thalib;0.010453;0.006433;0.361734;0.001552;3;6
Al-Harits bin Abdi;0.010453;0.0;0.361734;0.001508;3;8
Mu'adz bin Jabal;0.010453;0.0;0.361734;0.001508;3;8
Nu'man bin Qail;0.010453;0.0;0.361734;0.001508;3;8
Al-Baihaqi;0.017422;0.0;0.363822;0.001507;5;0
Ibnul Jauzi;0.017422;0.0;0.363822;0.001507;5;0
