name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Muhammad;0.794118;0.280791;0.790637;0.050893;108;0
Ali bin Abu Thalib;0.573529;0.044112;0.651624;0.024004;78;0
Abu Jahal;0.551471;0.026748;0.651624;0.022988;75;1
Umar bin Al-Khaththab;0.580882;0.024834;0.655224;0.022324;79;0
Abu Bakar;0.544118;0.02939;0.637611;0.021188;74;0
Abu Sufyan bin Harb;0.536765;0.027559;0.637611;0.019285;73;1
Aisyah;0.522059;0.005543;0.62749;0.018604;71;0
Abu Azzah;0.514706;7.1e-05;0.624187;0.016121;70;1
Khunais bin Hudzafah;0.514706;7.1e-05;0.624187;0.016121;70;1
Utsman bin Affan;0.522059;0.028746;0.630828;0.015762;71;0
Zainab;0.514706;0.005023;0.624187;0.013937;70;1
Amr bin Umayyah;0.352941;0.018435;0.559413;0.012672;48;0
Hasan bin Ali;0.514706;0.001513;0.624187;0.012244;70;0
Abdullah bin Ubay bin Salul;0.352941;0.039268;0.559413;0.0122;48;0
Mush'ab bin Umair;0.330882;9e-06;0.551607;0.011541;45;0
Zaid bin Haritsah;0.375;0.001724;0.567443;0.0114;51;1
Ibnu Hajar;0.323529;0.038008;0.551607;0.011084;44;0
Ummu Kultsum;0.514706;0.054849;0.624187;0.011054;70;1
Husain bin Ali;0.514706;0.054849;0.624187;0.010851;70;1
Abu Rafi';0.014706;0.000109;0.014706;0.010683;2;5
Jabir bin Abdullah;0.360294;0.063515;0.562064;0.010445;49;0
Abdurrahman;0.323529;0.013198;0.549054;0.009785;44;1
Hamzah bin Abdul Muththalib;0.323529;0.001622;0.546523;0.009715;44;1
Abu Lahab;0.316176;3.5e-05;0.544016;0.009614;43;1
Ka'b bin Al-Asyraf;0.301471;0.004793;0.541532;0.009553;41;0
Shafwan bin Umayyah;0.316176;3.5e-05;0.544016;0.009368;43;1
Abu Salamah bin Abdul Asad;0.294118;9e-06;0.539071;0.009248;40;0
Thu'aimah bin Adi;0.316176;3.5e-05;0.544016;0.009177;43;1
Umayyah bin Khalaf;0.316176;3.5e-05;0.544016;0.009085;43;1
Bilal bin Rabah;0.323529;0.003773;0.546523;0.009005;44;1
Najasyi;0.323529;3.5e-05;0.549054;0.008879;44;1
