event_name;current_bab;current_pages;top5_suggestions;ACTION;CORRECT_BAB;CORRECT_PAGES;NOTES
Perang Fijar;Perang Fijar;87-93;[1.00] Perang Fijar (p.87-93) | [0.70] Perang Najd (p.385-389) | [0.67] Perang Bani Nadhir (p.382-389) | [0.67] PERANG TABUK (p.558-571) | [0.64] PERMULAAN HIJRAH (p.210-213);;;;
Hijrah;Hijrah ke Habasyah yang Pertama;130-151;[0.92] Hijrah ke Habasyah yang Pertama (p.130-151) | [0.92] Tipu Muslihat Quraisy dalam Menghadapi Orang-Orang Muslim yang Hijrah ke Habasyah (p.133-151) | [0.92] PERMULAAN HIJRAH (p.210-213) | [0.92] RASULULLAH HIJRAH (p.218-232) | [0.92] KONDISI YANG MASIH LABIL DI MADINAH TATKALA HIJRAH (p.234-242);;;;
Isra' Mi'raj;ISRA’ DAN MI’RAJ;191-197;[0.71] ISRA’ DAN MI’RAJ (p.191-197) | [0.44] Imarah di Hijaz (p.48-55) | [0.44] Tiba di Madinah (p.367-375) | [0.43] Perang Najd (p.385-389) | [0.42] Duta Islam di Madinah (p.199-202);;;;
Baiat Aqabah;BAIAT AQABAH PERTAMA;198-202;[0.92] BAIAT AQABAH PERTAMA (p.198-202) | [0.92] BAIAT AQABAH KEDUA (p.203-209) | [0.50] Berangkat ke Khaibar (p.474-492) | [0.50] Pembagian Harta Rampasan (p.486-492) | [0.48] AGAMA BANGSA ARAB (p.56-65);;;;
Baiat Aqabah Kubra;BAIAT AQABAH KEDUA;203-209;[0.89] BAIAT AQABAH KEDUA (p.203-209) | [0.79] BAIAT AQABAH PERTAMA (p.198-202) | [0.50] POSISI BANGSA ARAB DAN KAUMNYA (p.34-42) | [0.50] Wadil Qura (p.490-492) | [0.47] Berangkat ke Khaibar (p.474-492);;;;
Perang Badr;Satuan-satuan Pasukan Sebelum Perang Badr;256-265;[0.92] Satuan-satuan Pasukan Sebelum Perang Badr (p.256-265) | [0.92] PERANG BADR KUBRA (p.266-304) | [0.92] AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD (p.305-307) | [0.92] Perang Badr yang Kedua (p.387-389) | [0.82] Perang Najd (p.385-389);;;;
Perang Badr Aisyah;PERANG BADR KUBRA;266-304;[0.74] PERANG BADR KUBRA (p.266-304) | [0.72] Perang Bani Lahyan (p.415-418) | [0.72] PERANG BANI QURAIZHAH (p.405-411) | [0.70] Perang Badr yang Kedua (p.387-389) | [0.68] Perang Bani Qainuqa’ (p.310-323);;;;
Perang Badr Beberapa;PERANG BADR KUBRA;266-304;[0.81] PERANG BADR KUBRA (p.266-304) | [0.67] Perang Badr yang Kedua (p.387-389) | [0.65] Pertempuran di Beberapa Titik (p.338-375) | [0.63] PERANG BANI QURAIZHAH (p.405-411) | [0.63] Perang Bani Lahyan (p.415-418);;;;
Perang Badr Kubra;PERANG BADR KUBRA;266-304;[1.00] PERANG BADR KUBRA (p.266-304) | [0.77] Perang Badr yang Kedua (p.387-389) | [0.68] PERANG BANI QURAIZHAH (p.405-411) | [0.67] Perang Dzatur Riqa’ (p.493-497) | [0.65] Perang Bani Qainuqa’ (p.310-323);;;;
Perang Badr Shughra;PERANG BADR KUBRA;266-304;[0.83] PERANG BADR KUBRA (p.266-304) | [0.68] Perang Badr yang Kedua (p.387-389) | [0.65] PERANG BANI QURAIZHAH (p.405-411) | [0.65] Perang Bani Lahyan (p.415-418) | [0.63] Perang Dzatur Riqa’ (p.493-497);;;;
