node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
ec44716ac4d6;Perang Badr;EVENT;;000052-006 | 000071-003 | 000075-010 | 000106-001 | 000114-009 | 000129-001 | 000137-001 | 000138-006 | 000140-001 | 000146-001 | 000147-001 | 000148-001 | 000148-002 | 000150-003 | 000151-001 | 000151-002 | 000153-002 | 000157-001 | 000157-003 | 000158-001 | 000164-003 | 000198-002 | 000206-005 | 000212-002 | 000212-004 | 000215-002 | 000216-002 | 000218-001 | 000225-001 | 000278-001 | 000318-002 | 000375-001 | 000378-001;44;Satuan-satuan Pasukan Sebelum Perang Badr;256-265
2ac235ec1e41;Perang Uhud;EVENT;;000071-003 | 000071-006 | 000075-005 | 000083-006 | 000146-002 | 000154-001 | 000157-001 | 000206-005 | 000206-008 | 000209-001 | 000210-001 | 000213-003 | 000214-001 | 000215-001 | 000215-002 | 000216-001 | 000225-002 | 000355-001 | 000355-002 | 000379-001 | 000385-003;27;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307
eaa1aba992f8;Perang Khandaq;EVENT;Perang Ahzab | Perang Al-Khandaq;000078-008 | 000078-009 | 000083-007 | 000213-002 | 000213-003 | 000215-003 | 000218-011 | 000218-012 | 000218-025 | 000218-026 | 000219-006 | 000219-008 | 000219-011 | 000219-013 | 000220-004 | 000221-001 | 000225-003 | 000225-004 | 000227-004 | 000287-001;24;Perang Burhan;321-323
d76568c60f42;Perjanjian Hudaibiyah;EVENT;;000099-001 | 000247-003 | 000250-007 | 000254-007 | 000255-001 | 000259-001 | 000320-004 | 000320-005;11;PERJANJIAN HUDAIBIYAH;433-450
d3f1e3f46352;Perang Khaibar;EVENT;;000215-002 | 000255-001 | 000263-001 | 000274-002 | 000278-001 | 000282-001 | 000284-001;10;PERANG KHAIBAR DAN WADIL QURA;473-492
5397136583c1;Perang Tabuk;EVENT;;000247-005 | 000351-001 | 000351-002 | 000356-002 | 000357-011 | 000357-012;8;PERANG TABUK;558-571
09e4b9814599;Perang Bu'ats;EVENT;Perang Bu;000078-001 | 000078-002 | 000102-001 | 000103-003 | 000150-001 | 000219-009;6;Perang Burhan;321-323
dc7dab06d145;Perang Hunain;EVENT;Perang Khunain;000284-005 | 000332-001 | 000336-001 | 000344-001 | 000355-001 | 000355-002;6;PERANG HUNAIN;538-551
be3ec22cbc5d;Baiat Aqabah Kubra;EVENT;;000088-005 | 000089-001 | 000089-005 | 000090-002;4;BAIAT AQABAH KEDUA;203-209
44e111bce1c3;Hijrah;EVENT;;000002-002 | 000051-006 | 000089-001;4;Hijrah ke Habasyah yang Pertama;130-151
