node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
ec44716ac4d6;Perang Badr;EVENT;;000052-006 | 000052-007 | 000071-003 | 000075-010 | 000098-002 | 000098-003 | 000106-001 | 000114-009 | 000114-013 | 000129-001 | 000131-002 | 000137-001 | 000138-003 | 000138-006 | 000139-001 | 000140-001 | 000140-004 | 000142-001 | 000144-004 | 000145-002 | 000146-001 | 000147-001 | 000148-001 | 000148-002 | 000150-003 | 000151-001 | 000151-002 | 000153-002 | 000157-001 | 000157-003 | 000158-001 | 000158-002 | 000164-002 | 000164-003 | 000171-001 | 000177-001 | 000182-001 | 000198-002 | 000206-005 | 000212-002 | 000212-003 | 000212-004 | 000215-002 | 000216-002 | 000218-001 | 000225-001 | 000278-001 | 000301-004 | 000318-002 | 000375-001 | 000378-001;66;Satuan-satuan Pasukan Sebelum Perang Badr;256-265
2ac235ec1e41;Perang Uhud;EVENT;;000071-003 | 000071-006 | 000075-005 | 000083-006 | 000146-002 | 000154-001 | 000157-001 | 000157-003 | 000166-001 | 000176-001 | 000185-001 | 000187-005 | 000187-006 | 000188-001 | 000189-001 | 000190-001 | 000192-002 | 000196-002 | 000199-003 | 000201-001 | 000202-001 | 000202-002 | 000205-001 | 000206-001 | 000206-005 | 000206-006 | 000206-007 | 000206-008 | 000208-001 | 000209-001 | 000210-001 | 000213-003 | 000214-001 | 000215-001 | 000215-002 | 000216-001 | 000225-002 | 000355-001 | 000355-002 | 000379-001 | 000385-003;55;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307
eaa1aba992f8;Perang Khandaq;EVENT;Perang Ahzab | Perang Al-Khandaq;000078-008 | 000078-009 | 000083-007 | 000213-002 | 000213-003 | 000215-003 | 000218-011 | 000218-012 | 000218-025 | 000218-026 | 000219-006 | 000219-008 | 000219-011 | 000219-013 | 000220-004 | 000221-001 | 000225-003 | 000225-004 | 000227-004 | 000287-001;24;Perang Burhan;321-323
a364a8d874fb;Isra;EVENT;;000035-002 | 000040-001 | 000080-001 | 000080-002 | 000080-005 | 000080-007 | 000080-009 | 000080-010 | 000080-011;17;ISRA’ DAN MI’RAJ;191-197
f90ea270344a;Hudaibiyah;EVENT;;000223-004 | 000223-005 | 000243-002 | 000247-001 | 000247-003 | 000258-001 | 000260-001 | 000274-001 | 000274-002 | 000285-001 | 000285-005 | 000299-001 | 000338-001;15;PERJANJIAN HUDAIBIYAH;433-450
d76568c60f42;Perjanjian Hudaibiyah;EVENT;;000099-001 | 000223-005 | 000227-005 | 000247-003 | 000250-007 | 000254-007 | 000255-001 | 000259-001 | 000299-001 | 000320-004 | 000320-005;14;PERJANJIAN HUDAIBIYAH;433-450
d3f1e3f46352;Perang Khaibar;EVENT;;000215-002 | 000255-001 | 000255-004 | 000263-001 | 000274-001 | 000274-002 | 000278-001 | 000282-001 | 000284-001;13;PERANG KHAIBAR DAN WADIL QURA;473-492
5397136583c1;Perang Tabuk;EVENT;;000247-005 | 000351-001 | 000351-002 | 000356-002 | 000357-011 | 000357-012;8;PERANG TABUK;558-571
09e4b9814599;Perang Bu'ats;EVENT;Perang Bu Ats;000078-001 | 000078-002 | 000102-001 | 000103-003 | 000150-001 | 000219-009;6;Perang Burhan;321-323
f6d107357819;Badr;EVENT;;000145-001 | 000147-001 | 000148-004 | 000158-001 | 000182-001 | 000217-001;6;Satuan-satuan Pasukan Sebelum Perang Badr;256-265
dc7dab06d145;Perang Hunain;EVENT;Perang Khunain;000284-005 | 000332-001 | 000336-001 | 000344-001 | 000355-001 | 000355-002;6;PERANG HUNAIN;538-551
0c77b0427eb0;Perang Mu'tah;EVENT;;000293-001 | 000295-001 | 000296-001 | 000341-002 | 000357-002;6;PERANG MU’TAH;502-510
e1881f5ae384;Khaibar;EVENT;;000275-001 | 000280-001 | 000384-001;5;PERANG KHAIBAR DAN WADIL QURA;473-492
be3ec22cbc5d;Baiat Aqabah Kubra;EVENT;;000088-005 | 000089-001 | 000089-005 | 000090-002;4;BAIAT AQABAH KEDUA;203-209
e3d9171c739e;Perang Tha'if;EVENT;;000177-002 | 000331-001 | 000357-004 | 000357-007;4;Perang Tha’if;544-551
9cc2185190cb;Perang Fijar;EVENT;;000025-001 | 000026-002;3;Perang Fijar;87-93
af7be2402d6d;Fathul Makkah;EVENT;Fathu Makkah | Penaklukan Makkah;000099-001 | 000223-003 | 000321-001;3;Peringatan di Makkah;267-304
