node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
801b22c82659;Makkah;LOCATION;;000002-002 | 000002-003 | 000002-005 | 000002-006 | 000002-009 | 000002-012 | 000007-001 | 000007-002 | 000007-003 | 000007-004 | 000007-005 | 000007-006 | 000007-007 | 000010-001 | 000010-002 | 000010-010 | 000010-014 | 000017-001 | 000017-002 | 000017-003 | 000017-004 | 000017-005 | 000017-006 | 000017-007 | 000017-011 | 000017-012 | 000018-001 | 000019-002 | 000019-003 | 000019-006 | 000020-001 | 000021-001 | 000021-002 | 000023-001 | 000026-001 | 000027-001 | 000028-001 | 000029-001 | 000030-002 | 000030-003 | 000031-001 | 000032-006 | 000032-007 | 000032-008 | 000032-009 | 000037-001 | 000038-001 | 000039-003 | 000045-001 | 000049-009 | 000049-010 | 000049-011 | 000051-001 | 000051-005 | 000051-006 | 000055-001 | 000055-002 | 000057-007 | 000060-001 | 000062-001 | 000063-003 | 000063-005 | 000067-001 | 000068-001 | 000071-003 | 000071-004 | 000074-001 | 000074-002 | 000074-003 | 000075-001 | 000075-004 | 000075-005 | 000075-008 | 000075-009 | 000075-010 | 000076-001 | 000077-002 | 000078-001 | 000078-002 | 000078-003 | 000078-004 | 000078-006 | 000078-009 | 000079-001 | 000080-006 | 000080-010 | 000081-001 | 000081-002 | 000083-007 | 000084-001 | 000088-003 | 000088-005 | 000088-006 | 000089-001 | 000089-003 | 000089-004 | 000089-005 | 000089-006 | 000090-001 | 000090-002 | 000090-005 | 000090-006 | 000092-001 | 000094-001 | 000095-002 | 000095-003 | 000096-002 | 000096-003 | 000096-009 | 000097-001 | 000097-003 | 000098-002 | 000098-003 | 000101-001 | 000103-008 | 000103-009 | 000110-001 | 000111-001 | 000113-001 | 000114-001 | 000114-006 | 000114-011 | 000115-001 | 000117-001 | 000118-001 | 000119-001 | 000121-001 | 000122-001 | 000123-001 | 000125-001 | 000126-001 | 000126-002 | 000126-003 | 000127-001 | 000129-002 | 000137-005 | 000138-002 | 000138-003 | 000138-004 | 000140-001 | 000140-004 | 000144-004 | 000146-002 | 000147-001 | 000148-001 | 000148-004 | 000153-002 | 000155-001 | 000155-002 | 000157-001 | 000157-002 | 000158-001 | 000159-001 | 000160-001 | 000161-001 | 000163-001 | 000164-001 | 000171-001 | 000172-001 | 000172-002 | 000177-002 | 000193-001 | 000193-002 | 000195-001 | 000198-001 | 000198-002 | 000198-003 | 000206-004 | 000206-006 | 000206-008 | 000212-002 | 000212-003 | 000212-004 | 000214-001 | 000216-001 | 000216-002 | 000218-001 | 000218-025 | 000221-002 | 000222-001 | 000223-003 | 000227-002 | 000227-003 | 000228-001 | 000229-001 | 000230-001 | 000231-001 | 000234-001 | 000235-001 | 000235-002 | 000236-001 | 000237-001 | 000238-001 | 000241-002 | 000241-003 | 000241-004 | 000243-001 | 000243-002 | 000243-003 | 000244-001 | 000247-001 | 000252-001 | 000284-001 | 000284-005 | 000285-001 | 000285-002 | 000285-003 | 000285-004 | 000285-005 | 000299-002 | 000299-003 | 000300-001 | 000300-002 | 000301-001 | 000301-002 | 000302-001 | 000304-001 | 000305-001 | 000306-001 | 000307-001 | 000308-001 | 000314-001 | 000314-002 | 000315-001 | 000316-001 | 000317-001 | 000318-001 | 000319-001 | 000320-001 | 000320-002 | 000320-004 | 000320-005 | 000321-001 | 000322-001 | 000323-001 | 000326-001 | 000333-001 | 000336-001 | 000338-001 | 000339-003 | 000340-001 | 000345-001 | 000351-001 | 000355-006 | 000356-001 | 000356-002 | 000357-001 | 000357-002 | 000357-004 | 000357-006 | 000357-013 | 000357-023 | 000359-001 | 000359-002 | 000359-003 | 000359-007 | 000375-001 | 000388-013;413;;
55ffd15c2ec3;Madinah;LOCATION;;000002-002 | 000002-012 | 000017-001 | 000017-004 | 000017-011 | 000020-001 | 000037-001 | 000078-001 | 000079-002 | 000079-003 | 000088-005 | 000089-001 | 000089-002 | 000089-003 | 000089-004 | 000089-006 | 000090-001 | 000090-006 | 000094-001 | 000096-001 | 000096-003 | 000097-001 | 000097-002 | 000097-003 | 000098-001 | 000098-002 | 000098-003 | 000099-001 | 000100-001 | 000101-001 | 000101-003 | 000101-004 | 000102-001 | 000103-003 | 000103-005 | 000103-007 | 000103-008 | 000103-009 | 000103-010 | 000105-002 | 000106-002 | 000108-001 | 000109-001 | 000109-002 | 000109-003 | 000110-001 | 000112-001 | 000112-002 | 000113-001 | 000113-002 | 000114-001 | 000114-003 | 000114-004 | 000114-005 | 000114-007 | 000114-010 | 000115-001 | 000115-002 | 000116-001 | 000117-001 | 000121-001 | 000123-001 | 000125-001 | 000129-001 | 000131-002 | 000141-001 | 000141-002 | 000142-002 | 000143-001 | 000143-002 | 000144-001 | 000144-003 | 000144-004 | 000146-001 | 000146-002 | 000147-001 | 000148-001 | 000148-002 | 000150-003 | 000151-001 | 000151-002 | 000151-003 | 000152-001 | 000152-002 | 000153-001 | 000153-002 | 000154-001 | 000155-001 | 000155-002 | 000155-008 | 000156-001 | 000157-002 | 000160-001 | 000161-001 | 000162-001 | 000163-001 | 000164-001 | 000164-002 | 000164-003 | 000165-001 | 000165-002 | 000167-001 | 000168-001 | 000172-001 | 000185-001 | 000196-002 | 000198-003 | 000200-001 | 000202-001 | 000203-001 | 000205-001 | 000206-001 | 000206-002 | 000206-003 | 000206-004 | 000206-005 | 000206-006 | 000206-008 | 000209-001 | 000210-001 | 000211-001 | 000213-003 | 000213-004 | 000214-001 | 000214-002 | 000214-003 | 000214-005 | 000214-006 | 000215-001 | 000215-002 | 000216-001 | 000216-002 | 000217-001 | 000217-002 | 000218-002 | 000218-003 | 000218-007 | 000218-008 | 000218-009 | 000218-019 | 000218-020 | 000218-021 | 000218-025 | 000218-026 | 000219-001 | 000219-006 | 000219-007 | 000221-001 | 000222-001 | 000222-002 | 000223-001 | 000223-002 | 000223-003 | 000223-004 | 000223-005 | 000224-002 | 000225-001 | 000225-004 | 000226-001 | 000226-002 | 000226-003 | 000226-004 | 000226-006 | 000226-007 | 000226-008 | 000226-010 | 000227-003 | 000228-001 | 000237-001 | 000241-004 | 000243-001 | 000243-003 | 000244-001 | 000245-001 | 000249-002 | 000255-004 | 000256-001 | 000258-001 | 000260-001 | 000274-002 | 000276-001 | 000276-002 | 000282-001 | 000283-001 | 000284-001 | 000284-002 | 000284-006 | 000284-007 | 000284-008 | 000285-001 | 000293-001 | 000296-001 | 000296-002 | 000296-003 | 000299-002 | 000300-001 | 000300-002 | 000302-001 | 000314-001 | 000314-002 | 000336-001 | 000337-001 | 000338-001 | 000339-001 | 000339-002 | 000339-004 | 000342-001 | 000343-001 | 000344-001 | 000346-001 | 000347-001 | 000349-001 | 000349-002 | 000350-001 | 000350-002 | 000350-004 | 000351-001 | 000352-001 | 000355-003 | 000356-002 | 000357-001 | 000357-002 | 000357-004 | 000357-006 | 000357-007 | 000357-008 | 000357-011 | 000357-014 | 000357-019 | 000357-020 | 000357-021 | 000357-023 | 000359-001 | 000359-010 | 000360-002 | 000370-001 | 000372-001 | 000377-001 | 000385-001 | 000387-001 | 000388-003 | 000388-013;403;;
322545c4eb51;Ka'bah;LOCATION;Baitullah;000002-008 | 000004-003 | 000007-001 | 000007-002 | 000007-004 | 000007-005 | 000007-006 | 000007-007 | 000009-002 | 000010-001 | 000010-002 | 000010-009 | 000010-010 | 000010-014 | 000015-004 | 000017-004 | 000017-005 | 000017-006 | 000017-007 | 000017-008 | 000017-010 | 000018-001 | 000021-001 | 000023-001 | 000029-001 | 000029-002 | 000029-003 | 000029-004 | 000030-003 | 000038-001 | 000048-006 | 000049-003 | 000049-004 | 000049-005 | 000055-003 | 000055-004 | 000055-005 | 000056-001 | 000057-002 | 000057-011 | 000061-001 | 000063-003 | 000063-005 | 000074-005 | 000075-001 | 000078-007 | 000095-003 | 000103-008 | 000111-001 | 000213-002 | 000228-001 | 000235-002 | 000242-002 | 000305-002 | 000309-001 | 000310-001 | 000311-001 | 000312-001 | 000314-001 | 000320-004 | 000339-007 | 000359-003 | 000359-007 | 000359-010;108;;
3a50ca3b3122;Syam;LOCATION;;000001-001 | 000002-001 | 000002-002 | 000002-003 | 000002-009 | 000005-001 | 000005-002 | 000006-001 | 000007-001 | 000007-004 | 000009-001 | 000009-002 | 000010-001 | 000010-014 | 000014-001 | 000017-001 | 000017-002 | 000017-011 | 000018-001 | 000024-001 | 000024-002 | 000027-001 | 000028-001 | 000055-001 | 000055-002 | 000071-003 | 000090-001 | 000096-010 | 000113-001 | 000114-002 | 000114-005 | 000114-010 | 000115-001 | 000147-001 | 000152-002 | 000157-001 | 000157-002 | 000214-006 | 000217-001 | 000217-002 | 000222-001 | 000243-003 | 000248-003 | 000250-001 | 000250-002 | 000262-001 | 000286-001 | 000287-001 | 000289-002 | 000294-002 | 000296-001 | 000339-004 | 000339-005 | 000343-001 | 000346-001 | 000346-002 | 000348-002 | 000355-002 | 000357-002 | 000357-006;81;;
109a89ed4a56;Khaibar;LOCATION;;000002-012 | 000010-012 | 000105-001 | 000214-006 | 000215-002 | 000218-001 | 000220-001 | 000227-001 | 000245-001 | 000246-001 | 000247-005 | 000255-004 | 000256-001 | 000257-001 | 000259-001 | 000260-001 | 000261-001 | 000262-001 | 000263-001 | 000263-002 | 000264-001 | 000264-002 | 000265-001 | 000265-002 | 000266-001 | 000267-001 | 000270-002 | 000272-001 | 000273-001 | 000274-001 | 000274-002 | 000275-001 | 000277-001 | 000278-001 | 000279-001 | 000280-001 | 000281-001 | 000283-001 | 000284-001 | 000284-007 | 000284-008 | 000357-002 | 000368-002 | 000384-001;75;;
32aa06008609;Yaman;LOCATION;;000002-001 | 000002-002 | 000002-004 | 000002-006 | 000002-009 | 000004-001 | 000004-002 | 000004-003 | 000004-004 | 000007-001 | 000007-002 | 000010-012 | 000010-013 | 000010-014 | 000014-001 | 000017-003 | 000017-006 | 000017-008 | 000017-009 | 000078-006 | 000078-009 | 000094-001 | 000096-002 | 000218-007 | 000249-002 | 000275-001 | 000284-008 | 000293-001 | 000314-001 | 000315-001 | 000316-002 | 000357-003 | 000357-011 | 000357-013 | 000357-018 | 000357-019 | 000357-021 | 000357-023 | 000359-001;58;;
9b40a7be3792;Habasyah;LOCATION;;000004-002 | 000004-003 | 000004-004 | 000009-002 | 000010-013 | 000010-014 | 000017-008 | 000041-001 | 000051-002 | 000051-003 | 000051-005 | 000051-006 | 000067-001 | 000068-001 | 000074-003 | 000089-006 | 000157-001 | 000157-002 | 000158-002 | 000175-002 | 000177-001 | 000241-004 | 000244-001 | 000247-001 | 000247-002 | 000247-005 | 000275-001 | 000339-003 | 000383-001;45;;
8388f302e313;Jazirah Arab;LOCATION;;000001-001 | 000001-002 | 000002-011 | 000002-012 | 000008-001 | 000009-001 | 000009-002 | 000010-011 | 000010-012 | 000012-001 | 000014-001 | 000015-004 | 000047-001 | 000103-008 | 000114-001 | 000187-004 | 000218-001 | 000227-005 | 000228-001 | 000241-001 | 000245-001 | 000320-004 | 000320-005 | 000321-001 | 000340-001 | 000348-001 | 000351-001 | 000354-001 | 000357-021 | 000358-002 | 000358-003 | 000358-005 | 000365-001;41;;
e0180ee04b12;Yatsrib;LOCATION;Yastrib;000010-012 | 000010-013 | 000017-002 | 000020-001 | 000071-003 | 000078-001 | 000078-002 | 000078-003 | 000079-001 | 000079-002 | 000081-001 | 000082-001 | 000083-001 | 000083-007 | 000084-001 | 000088-003 | 000088-004 | 000088-005 | 000088-006 | 000090-002 | 000098-001 | 000103-004 | 000107-001 | 000109-002 | 000112-001 | 000114-001 | 000121-001 | 000129-001 | 000129-002 | 000218-019 | 000285-002;40;;
016114bfe6fc;Badr;LOCATION;;000114-004 | 000114-010 | 000115-002 | 000117-001 | 000120-001 | 000121-001 | 000122-001 | 000124-004 | 000126-001 | 000127-001 | 000129-001 | 000139-001 | 000140-001 | 000141-002 | 000142-001 | 000142-002 | 000143-001 | 000145-003 | 000148-004 | 000151-001 | 000155-001 | 000155-002 | 000198-002 | 000216-001 | 000216-002 | 000217-001;32;;
