tokoh,weight,halaman,evidence
Abdullah bin Abbas,0.3,312-314,"...lalu. Abu Dawud dan lain-lainya meriwayatkan dari Ibnu Abbas $, dia berkata. ""Setelah Rasulullah memperoleh kemenangan atas Quraisy pada Perang Badr dan kembali ke Madinah, maka beliau mengumpulkan"
Abdullah bin Abu Bakar,0.5,324-325,"...ahl, Shafwan bin Umayyah, Abu Sufyan bin Harb dan Abdullah bin Abu Rabi'ah Tindakan pertama yang mereka lakukan dalam kesempatan ini ialah menghimpun kembali barang dagangan yang bisa diselamatkan "
Abdullah bin Jahsy,0.2,256-265,...haq dan batil. Insiden yang dipicu satuan pasukan Abdullah bin Jahsy merupakan pukulan yang telak terhadap kehormatan dan dominasi orang-orang Musyrik Insiden ini membuat mereka terluka lalu membia
Abdullah bin Ubay bin Salul,0.2,420-424,"...abung bersama mereka dan membaca Al-Qur an. Namun Abdullah bin Ubay berkata, ""Duduk saja di rumahmu dan jangan mengganggu majelis Ini terjadi sebelum dia pura-pura masuk Islam. Sekalipun sudah meny"
Abdurrahman,0.5,289-293,...akan teman karib semasa Jahiliyah di Makkah. Pada Perang Badr itu Abdurrahman melewati Umayyah bin Khalaf yang sedang berpegang...
Abdurrahman bin Auf,0.5,287-289 | 289-293,"...menyedot darahnya lewat tangan dua pemuda Anshar. Abdurrahman bin Auf menuturkan, ""Tatkala aku sedang berada di tengah barisan pada Perang Badr, aku menengok ke arah kiri dan kanan. Kulihat ada..."
Abu Azzah,0.5,324-325 | 368-373,"...ngat manusia. Bahkan Shafwan bin Umayyah membujuk Abu Azzah, seorang penyair yang tertawan di Perang Badr, namun kemudian dibebaskan Rasulullah tanpa tebus..."
Abu Bakar,0.5,231-232,"...iman, Abdullah bin Abu Bakar dan seluruh keluarga Abu Bakar, termasuk pula Aisyah. Sementara Zainab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk"
Abu Hurairah,0.2,385-386,"...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab "
Abu Jahal,0.5,165-168,"...bersumpah tidak akan keluar dari Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah y..."
Abu Lahab,0.5,295-297,"...Namun Al-Abbas menyembunyikan keislamannya. Saat Perang Badr, Abu Lahab tidak ikut serta. Ketika sudah ada kabar tentang..."
Abu Lubabah bin Abdul,0.4,315-316,"...Terjadi pada bulan Dzul Hijjah, dua bulan setelah Perang Badr. Urusan di Madinah beliau serahkan kepada Abu Lubabah bin Abdul"
Abu Musa,0.2,385-386,"...ilangkan terlebih sebelum kaum Muslimin terjun ke Perang Badr (yang kedua). Tidak benar Perang Dzatur Riqa' yang dikomandani Rasulullah terjadi pada bulan Rabi'ul Awwal atau Jumadil Ula itu. Sebab "
Abu Rasulullah,0.2,174-180,"...melindungi siapa pun yang engkau lindungi,"" kata Abu Rasulullah senantiasa teringat perlindungan yang diberkan Muth'im ini. Maka beliau bersabda tentang para tawanan Perang Badr. ""Andaikata Al-Muth"
Abu Shafwan,0.2,324-325,"...bujuk Abu Azzah, seorang penyair yang tertawan di Perang Badr, namun kemudian dibebaskan Rasulullah tanpa tebusan apa pun, dengan syarat dia tidak boleh memerangi beliau lagi dalam bentuk apa pun. "
Abu Sufyan bin Harb,0.5,165-168 | 300-302 | 315-316 | 324-325 | 334-335 | 359-360 | 385-386,"...Makkah. Tatkala Abu Jahal mengajaknya pergi saat Perang Badr, dia membeli seekor onta paling bagus di Makkah yang memungkinkan dapat digunakan untuk melarikan diri jika diperlukan ""Wahai Abu Sufyan"
Abul Ash,0.3,231-232,"...nab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di..."
Abul Ash bin Ar-Rabi',0.2,611,"...tsum, dan Fathimah. Zainab dinikahi anak bibinya, Abul Ash bin Ar-Rabi', sebelum hijrah. Sedangkan Ruqayyah dan Ummu Kultsum dinikahi Utsman bin Affan tidak secara bersamaan. Sedangkan Fathimah din"
Abul Bakhtari bin Hisyam,0.2,289-293,"...gitu aku akan mati bersama-sama dengannya,"" jawab Abul Bakhtari. Lalu mereka berdua melancarkan serangan sehingga terpaksa Al-Mujadzdz membunuh Abul Bakhtari. 3. Abdurrahman bin Auf dan Umayyah bin"
Aisyah,0.5,231-232,"...kar dan seluruh keluarga Abu Bakar, termasuk pula Aisyah. Sementara Zainab, putri beliau masih tinggal bersama suaminya, Abul Ash di Makkah. Zainab belum memungkinkan untuk hijrah, dan baru hijrah "
Al-Abbas bin Abdul Muththalib,0.4,295-297,"...ntu Rasulullah berkata, ""Dulu aku adalah pembantu Al-Abbas. Saat itu Islam sudah masuk kepada beberapa anggota keluarga. Al-Abbas masuk Islam, begitu pula Ummul Fadhl dan aku. Namun Al-Abbas menyem"
Al-Aswad bin Al-Muththalib,0.5,295-297,"...terpuruk karena dicerca orang-orang Muslim. Dalam Perang Badr ini Al-Aswad bin Al-Muththalib kehilangan tiga anaknya. Karena buta, dia lebih s..."
Ali bin Abu Thalib,0.5,281-282 | 368-373 | 611,"...unia di Ash-Shafra', empat atau lima hari setelah Perang Badr, di tengah perjalanan pulang ke Madinah. Pada saat itu Ali bersumpah kepada Allah, hingga karenanya turun ay..."
Ali bin Umayyah,0.5,289-293,"...akan teman karib semasa Jahiliyah di Makkah. Pada Perang Badr itu Abdurrahman melewati Umayyah bin Khalaf yang sedang berpegangan tangan dengan anaknya, Ali bin Umayyah. Sementara saat itu Abdurrah"
Amr bin Al-Ash,0.5,133-137,...n riwayat Ibnu Ishaq. Yang lain menyebutkan bahwa Amr bin Al-Ash diutus kepada Najasyi setelah Perang Badr.
Amr bin Umayyah,0.2,377-379,"...apa orang untuk menjaga jasadnya. Kemudian muncul Amr bin Umayyah Adh-Dhamiri dan pada malam harinya dia dapat mengakali para penjaga, lalu membawa jasadnya untuk dikuburkan. Yang menangani eksekus"
An-Nadhr bin Al-Harits,0.5,334-335,"...entang apa yang menimpa pasukan Quraisy pada saat Perang Badr, yaitu saat pembawa bendera mereka, An-Nadhr bin Al-Harits tertawan. Dia berkata kepada mereka, ""Wahai Bani..."
Bilal bin Rabah,0.5,231-232,"...emungkinkan untuk hijrah, dan baru hijrah setelah Perang Badr Aisyah berkata, Tatkala Rasulullah sudah tiba di Madinah, sementara Abu Bakar dan Bilal merintih kesakitan, aku segera menemui keduanya"
Furat bin Hayyan,0.2,321-323,"...pasukan, setelah mengambil seperlimanya. Kemudian Furat bin Hayyan masuk Islam di hadapan beliau. Tentu saja kejadian ini merupakan bencana besar yang menimpa Quraisy setelah Perang Badr. Mereka se"
Hakim bin Hizam,0.2,277-279,"...mata air melainkan pasti mereka terbunuh, kecuali Hakim bin Hizam. Dia tidak terbunuh dan setelah itu dia masuk Islam. Setiap kali berjuang di sisi beliau, dia pun berkata, ""Tidak. Demi yang telah "
Hamzah bin Abdul Muththalib,0.5,327-328 | 340,"...tokoh kelompok yang sangat berantusias ini adalah Hamzah bin Abdul Muththalib, paman Rasulullah , yang pada Perang Badr dia hanya menggantungkan pedangnya."
